text,rating,date,useful_votes,producto,text_clean,text_length,year_month
La verdad mi hijo esta super contento es un muy buen equipo la verdad superó mis expectativas. Anda perfecto y lo las lindo tiene una cámara que salen fotos excelente.,4,2025-04-12,0,Samsung A15,la verdad mi hijo esta super contento es un muy buen equipo la verdad supero mis expectativas anda perfecto y lo las lindo tiene una camara que salen fotos excelente,30,2025-04
"Estoy a pocos dias de uso, todo parece muy bien.",4,2025-04-11,0,Samsung A15,estoy a pocos dias de uso todo parece muy bien,10,2025-04
Una maquina funcionando bien hasta la actualidad. Lo tengo hacen 3 meses. Es un poco lento pero bueno. Lo compensa en otros detalles.,4,2025-04-11,0,Samsung A15,una maquina funcionando bien hasta la actualidad lo tengo hacen 3 meses es un poco lento pero bueno lo compensa en otros detalles,23,2025-04
Para mi esta muy bueno.,4,2025-04-11,0,Samsung A15,para mi esta muy bueno,5,2025-04
"Es más lindo en la vida real, anda súper bien. Por lo que pagué esperaba menos y la verdad me sorprendió.",4,2025-04-11,0,Samsung A15,es mas lindo en la vida real anda super bien por lo que pague esperaba menos y la verdad me sorprendio,21,2025-04
Lo estoy probando.,4,2025-04-11,0,Samsung A15,lo estoy probando,3,2025-04
Precio según calidad.,4,2025-04-10,0,Samsung A15,precio segun calidad,3,2025-04
Muy conforme con el producto.,4,2025-04-08,0,Samsung A15,muy conforme con el producto,5,2025-04
"Me resultó un poco complejo el pase de información desde el samsunga14, anteriormente había cambiado del a3 al a14 y se hizo perfecto, paso todo de una con claves y todo, pero esta vez muchas cosas no pasaron y tu e que perder mucho tiempo pasando de a una aplicación, además no dura tanto la batería, sinceramente me arrepentí del cambio, el a14 para mi era mejor a pesar de ser más viejo.",4,2025-04-08,0,Samsung A15,me resulto un poco complejo el pase de informacion desde el samsunga14 anteriormente habia cambiado del a3 al a14 y se hizo perfecto paso todo de una con claves y todo pero esta vez muchas cosas no pasaron y tu e que perder mucho tiempo pasando de a una aplicacion ademas no dura tanto la bateria sinceramente me arrepenti del cambio el a14 para mi era mejor a pesar de ser mas viejo,73,2025-04
Muy bueno el celular.,4,2025-04-07,0,Samsung A15,muy bueno el celular,4,2025-04
No tira minecraft (pago).,4,2025-04-06,0,Samsung A15,no tira minecraft pago,4,2025-04
"Por ahora esta resultando todo ok, recien lo compramos, veremos con el tiempo.",4,2025-04-05,0,Samsung A15,por ahora esta resultando todo ok recien lo compramos veremos con el tiempo,13,2025-04
Me gusto el celular pero la no me gusto que a los 3 meses se descargaba un poco rápido la bateria.,4,2025-04-05,0,Samsung A15,me gusto el celular pero la no me gusto que a los 3 meses se descargaba un poco rapido la bateria,21,2025-04
Rinde bien para el día a día. Se puede jugar pero tampoco exigirle milagros.,4,2025-04-04,0,Samsung A15,rinde bien para el dia a dia se puede jugar pero tampoco exigirle milagros,14,2025-04
Hasta ahora anda perfecto. Hace dos semanas lo tengo.,4,2025-04-04,0,Samsung A15,hasta ahora anda perfecto hace dos semanas lo tengo,9,2025-04
Lo malo q no viene el cargador.,4,2025-04-04,0,Samsung A15,lo malo q no viene el cargador,7,2025-04
"Buena definiciom de pantalla,y almacenamiento de memoria.",4,2025-04-03,0,Samsung A15,buena definiciom de pantallay almacenamiento de memoria,7,2025-04
Muy bueno con respecto al precio muy lindo el celular.,4,2025-04-02,0,Samsung A15,muy bueno con respecto al precio muy lindo el celular,10,2025-04
"Está bueno, recomendable.",4,2025-03-31,0,Samsung A15,esta bueno recomendable,3,2025-03
Todo correcto el teléfono pero no trae cargador ratas.,4,2025-03-31,0,Samsung A15,todo correcto el telefono pero no trae cargador ratas,9,2025-03
"Hoy, abril del 2025, excelente relación precio ,calidad, memoria, y velocidad.",4,2025-03-29,0,Samsung A15,hoy abril del 2025 excelente relacion precio calidad memoria y velocidad,11,2025-03
Buenísimo fue para un regalo y súper satisfecha!!!.,4,2025-03-26,0,Samsung A15,buenisimo fue para un regalo y super satisfecha,8,2025-03
Muy bueno y buena calidad.,4,2025-03-26,0,Samsung A15,muy bueno y buena calidad,5,2025-03
El producto muy bueno.,4,2025-03-25,0,Samsung A15,el producto muy bueno,4,2025-03
Muy lindo.,4,2025-03-23,0,Samsung A15,muy lindo,2,2025-03
Lo compré para regalar. Se ve de buena calidad. Todavía tiene muy poco uso para poder decir algo más. Pero confío en samsung porque uso esta marca también.,4,2025-03-23,0,Samsung A15,lo compre para regalar se ve de buena calidad todavia tiene muy poco uso para poder decir algo mas pero confio en samsung porque uso esta marca tambien,28,2025-03
"Muy lindo equipo, lo único malo es que no trae cargador.",4,2025-03-22,0,Samsung A15,muy lindo equipo lo unico malo es que no trae cargador,11,2025-03
Hermoso y espero que sea duradero.,4,2025-03-22,0,Samsung A15,hermoso y espero que sea duradero,6,2025-03
Se lo compré para mi hija. Está muy conforme.,4,2025-03-21,0,Samsung A15,se lo compre para mi hija esta muy conforme,9,2025-03
"No lo compre para uso personal,.",4,2025-03-21,0,Samsung A15,no lo compre para uso personal,6,2025-03
"Buena calidad, excelente producto.",4,2025-03-20,0,Samsung A15,buena calidad excelente producto,4,2025-03
Masomenos.,4,2025-03-20,0,Samsung A15,masomenos,1,2025-03
Excelente telefono.,4,2025-03-20,0,Samsung A15,excelente telefono,2,2025-03
"Excelente el celu ,no le doy 5 estrella ya que desconozco el motivo porque no biene con el cargador tipo c.",4,2025-03-19,0,Samsung A15,excelente el celu no le doy 5 estrella ya que desconozco el motivo porque no biene con el cargador tipo c,21,2025-03
Lo compre y no leí que venia sin cargador!!! debería traer en mi opinión. Lo demás todo bien.,4,2025-03-19,0,Samsung A15,lo compre y no lei que venia sin cargador deberia traer en mi opinion lo demas todo bien,18,2025-03
No le doy todas las estrellas porque lo acabo de comprar y hasta ahora no puedo decir es bueno o no.,4,2025-03-19,0,Samsung A15,no le doy todas las estrellas porque lo acabo de comprar y hasta ahora no puedo decir es bueno o no,21,2025-03
Acorde precio calidad.,4,2025-03-18,0,Samsung A15,acorde precio calidad,3,2025-03
Es muy bueno pero tiene sus fayas.,4,2025-03-18,0,Samsung A15,es muy bueno pero tiene sus fayas,7,2025-03
El celular perfecto!.,4,2025-03-18,0,Samsung A15,el celular perfecto,3,2025-03
Es un buen telefono para el precio lo unico malo es una pulgada menos que el a13 por enemplo.,4,2025-03-17,0,Samsung A15,es un buen telefono para el precio lo unico malo es una pulgada menos que el a13 por enemplo,19,2025-03
Es un celu medio pelo para zafar funciona. La batería dura casi 2 días es normal estéticamente hablando. No trae cargador es un garrón.,4,2025-03-15,0,Samsung A15,es un celu medio pelo para zafar funciona la bateria dura casi 2 dias es normal esteticamente hablando no trae cargador es un garron,24,2025-03
Cómo voy a saber si es duradero o cuánto dura la batería si hace 2 horas que lo recibí.,4,2025-03-14,0,Samsung A15,como voy a saber si es duradero o cuanto dura la bateria si hace 2 horas que lo recibi,19,2025-03
"Muy buen producto, siendo gama media, muy bien celular, lástima q no viene con el cargador una verdadera lástima, sumaria un par de puntos más, si sos exigente para juegos hay q comprar el de 8 gigas y 256, saludos totales.",4,2025-03-14,0,Samsung A15,muy buen producto siendo gama media muy bien celular lastima q no viene con el cargador una verdadera lastima sumaria un par de puntos mas si sos exigente para juegos hay q comprar el de 8 gigas y 256 saludos totales,41,2025-03
Cómo esperaba de samsung! un celular bastante bueno por su precio.,4,2025-03-13,0,Samsung A15,como esperaba de samsung un celular bastante bueno por su precio,11,2025-03
"Bueno, práctico! relación precio calidad.",4,2025-03-13,0,Samsung A15,bueno practico relacion precio calidad,5,2025-03
Recién llegado. Instalando.,4,2025-03-12,0,Samsung A15,recien llegado instalando,3,2025-03
"A tener en cuenta. Buen teléfono. Lo único malo del modelo es que no se prende la pantalla en notificaciones como whatsapp, solo en llamadas y sms. Probé actualizando, de todo y nada. Esperemos samsung lo solucione pronto.",4,2025-03-12,0,Samsung A15,a tener en cuenta buen telefono lo unico malo del modelo es que no se prende la pantalla en notificaciones como whatsapp solo en llamadas y sms probe actualizando de todo y nada esperemos samsung lo solucione pronto,38,2025-03
Relación precio calidad cumple la función!.,4,2025-03-12,0,Samsung A15,relacion precio calidad cumple la funcion,6,2025-03
"Muy buena eelacion precio calidad,me encantó la cámara.",4,2025-03-11,0,Samsung A15,muy buena eelacion precio calidadme encanto la camara,8,2025-03
Un buen celular acorde al precio. Cumplió las expectativas.,4,2025-03-11,0,Samsung A15,un buen celular acorde al precio cumplio las expectativas,9,2025-03
"Esta bien, pero por el precio podría incluir el transformador del cargador, ya que viene el usb con las dos fichas tipo c.",4,2025-03-10,0,Samsung A15,esta bien pero por el precio podria incluir el transformador del cargador ya que viene el usb con las dos fichas tipo c,23,2025-03
Es lo que esperaba.,4,2025-03-10,0,Samsung A15,es lo que esperaba,4,2025-03
Me gusta mucho. Muy conforme con el cel.,4,2025-03-10,0,Samsung A15,me gusta mucho muy conforme con el cel,8,2025-03
"Piola, solo que es como si te vendieran un pantalon sin bolsillo al no tener adaptador xd.",4,2025-03-09,0,Samsung A15,piola solo que es como si te vendieran un pantalon sin bolsillo al no tener adaptador xd,17,2025-03
Muy buena relación precio - calidad. Es muy util para el día a día el nfc fundamentealmente para quien se maneja en transporte público para acreditar las cargas de la sube. Camara y capaciedad de almacenamiento excelente.,4,2025-03-09,0,Samsung A15,muy buena relacion precio  calidad es muy util para el dia a dia el nfc fundamentealmente para quien se maneja en transporte publico para acreditar las cargas de la sube camara y capaciedad de almacenamiento excelente,36,2025-03
Regular.,4,2025-03-08,0,Samsung A15,regular,1,2025-03
Era lo que esperaba por el precio y gama. Está perfecto.,4,2025-03-07,0,Samsung A15,era lo que esperaba por el precio y gama esta perfecto,11,2025-03
Le pongo 4 estella por no tener cargador solo un cable con fichas ipc.,4,2025-03-05,0,Samsung A15,le pongo 4 estella por no tener cargador solo un cable con fichas ipc,14,2025-03
Muy lindo y delicado.,4,2025-03-05,0,Samsung A15,muy lindo y delicado,4,2025-03
"Precio, calidad, si no lo cargas con su cargador original, la batería se acaba un poco más rápido. La cámara es muy buena para tomar fotos a una distancia no muy marga. Responde rápido, no es un teléfono que empieza a funcionar lento cuando tiene demasiados archivos, apps, etc.",4,2025-03-05,0,Samsung A15,precio calidad si no lo cargas con su cargador original la bateria se acaba un poco mas rapido la camara es muy buena para tomar fotos a una distancia no muy marga responde rapido no es un telefono que empieza a funcionar lento cuando tiene demasiados archivos apps etc,49,2025-03
Me gustó muchísimo gcias.,4,2025-03-04,0,Samsung A15,me gusto muchisimo gcias,4,2025-03
Recomendable. Es lo que esperaba.,4,2025-03-02,0,Samsung A15,recomendable es lo que esperaba,5,2025-03
Me pareció un exelente producto. Solamente no se entiende por qué no trae cargador. .,4,2025-03-01,0,Samsung A15,me parecio un exelente producto solamente no se entiende por que no trae cargador ,14,2025-03
Es buen producto. Lo único para decir es que no trae cargador.,4,2025-02-27,0,Samsung A15,es buen producto lo unico para decir es que no trae cargador,12,2025-02
"Funciona muy bien, por el lado del manejo y la funcionalidad es lo normal para un samsung. Sin embargo, está muy claro que es un diseño hecho para ponerle un protector externo. Sus bordes rectos y sus tres lentes protuberantes son una invitación a sufrir daños al menor golpe o raspón. Es inaceptable que los fabricantes de celulares ya no provean el cargador con el equipo. El precio es absurdo, una parte no despreciable de éste tiene que ver con la veracidad del cuasi monopolio de mercado (para nada) libre.",4,2025-02-26,0,Samsung A15,funciona muy bien por el lado del manejo y la funcionalidad es lo normal para un samsung sin embargo esta muy claro que es un diseno hecho para ponerle un protector externo sus bordes rectos y sus tres lentes protuberantes son una invitacion a sufrir danos al menor golpe o raspon es inaceptable que los fabricantes de celulares ya no provean el cargador con el equipo el precio es absurdo una parte no despreciable de este tiene que ver con la veracidad del cuasi monopolio de mercado para nada libre,90,2025-02
"Buen producto, lo q esperaba.",4,2025-02-25,0,Samsung A15,buen producto lo q esperaba,5,2025-02
"Es bueno, lo único es que no trae el adaptador del cargador. Pero quitando eso, es muy buen producto!.",4,2025-02-25,0,Samsung A15,es bueno lo unico es que no trae el adaptador del cargador pero quitando eso es muy buen producto,19,2025-02
Por el momento bien. No viene cargador.,4,2025-02-24,0,Samsung A15,por el momento bien no viene cargador,7,2025-02
"La verdad lo tengo hace una semana y funciona muy bien si lo queres por la cámara este no es tu cel , la batería dura un montón muy buena.",4,2025-02-23,0,Samsung A15,la verdad lo tengo hace una semana y funciona muy bien si lo queres por la camara este no es tu cel  la bateria dura un monton muy buena,29,2025-02
Hasta ahora muy bueno lo único malo es que viene sin cargador.,4,2025-02-23,0,Samsung A15,hasta ahora muy bueno lo unico malo es que viene sin cargador,12,2025-02
Me gustó x su color celeste tornasolado con la funda transparente queda precioso y desbloqueo lateral con huella re práctico y rápido de abrir. Muy buenas fotos velocidad instantánea super cómodo en la mano y mucho más detalles buenísimo.,4,2025-02-23,0,Samsung A15,me gusto x su color celeste tornasolado con la funda transparente queda precioso y desbloqueo lateral con huella re practico y rapido de abrir muy buenas fotos velocidad instantanea super comodo en la mano y mucho mas detalles buenisimo,39,2025-02
Muy buen precio en un pago.,4,2025-02-23,0,Samsung A15,muy buen precio en un pago,6,2025-02
Es un aparato que funciona bien para lo básico e indispensable!.,4,2025-02-21,0,Samsung A15,es un aparato que funciona bien para lo basico e indispensable,11,2025-02
Lo único malo es que no viene con cargador!!!!.,4,2025-02-21,0,Samsung A15,lo unico malo es que no viene con cargador,9,2025-02
"Calidad precio sin duda. Lastima que no trae cargador. El resto, muy bueno.",4,2025-02-20,0,Samsung A15,calidad precio sin duda lastima que no trae cargador el resto muy bueno,13,2025-02
Lo recomiendo.,4,2025-02-19,0,Samsung A15,lo recomiendo,2,2025-02
Muy bueno rápido hasta ahora. Todo bien.,4,2025-02-19,0,Samsung A15,muy bueno rapido hasta ahora todo bien,7,2025-02
Es muy pronto para hacer una evaluación objetiva.,4,2025-02-17,0,Samsung A15,es muy pronto para hacer una evaluacion objetiva,8,2025-02
"Básico, cumple la función de un teléfono de menor categoría. No deja de ser bueno.",4,2025-02-17,0,Samsung A15,basico cumple la funcion de un telefono de menor categoria no deja de ser bueno,15,2025-02
"Por ahora, todo bien.",4,2025-02-16,0,Samsung A15,por ahora todo bien,4,2025-02
Anda bien por ahora!?.,4,2025-02-15,0,Samsung A15,anda bien por ahora,4,2025-02
Lo que esperaba.,4,2025-02-15,0,Samsung A15,lo que esperaba,3,2025-02
"El producto exelente, relación precio calidad excelente. Lo único malo es que no trae el cabezal del cargador. Solo trajo el cable.",4,2025-02-15,0,Samsung A15,el producto exelente relacion precio calidad excelente lo unico malo es que no trae el cabezal del cargador solo trajo el cable,22,2025-02
"Me costó mucho el cambio de motorola a samsung. Tuve que comprar un cable, para poder usar mí cargador.",4,2025-02-13,0,Samsung A15,me costo mucho el cambio de motorola a samsung tuve que comprar un cable para poder usar mi cargador,19,2025-02
"Lindo barato , lindo para regalo.",4,2025-02-13,0,Samsung A15,lindo barato  lindo para regalo,5,2025-02
Lo malo y no te dicen nada es que viene sin cargador.,4,2025-02-12,0,Samsung A15,lo malo y no te dicen nada es que viene sin cargador,12,2025-02
Buen celular. Pero calienta demasiado cuando esta cargando.,4,2025-02-12,0,Samsung A15,buen celular pero calienta demasiado cuando esta cargando,8,2025-02
Buen producto. Es lo esperado.,4,2025-02-12,0,Samsung A15,buen producto es lo esperado,5,2025-02
"El teléfono se lo compro mi hermana, esta muy bueno. Lo malo es que trae un cable con doble ficha c y no viene con la cuna para ese tipo de cable, así que tenes que comprar uno. El celu anda muy bien y tiene buena cámara.",4,2025-02-12,0,Samsung A15,el telefono se lo compro mi hermana esta muy bueno lo malo es que trae un cable con doble ficha c y no viene con la cuna para ese tipo de cable asi que tenes que comprar uno el celu anda muy bien y tiene buena camara,47,2025-02
"Es un teléfono común. Comparado con otros es de mediana calidad. Pero es lo que podía comprar. Cumple con las especificaciones. No esperaba más. Funciona bien. Y en relación al precio, es lo más económico que conseguí en 1 pago. Bien en general. Recomendable.",4,2025-02-11,0,Samsung A15,es un telefono comun comparado con otros es de mediana calidad pero es lo que podia comprar cumple con las especificaciones no esperaba mas funciona bien y en relacion al precio es lo mas economico que consegui en 1 pago bien en general recomendable,44,2025-02
"Aprobado, de acuerdo a lo que buscaba conforme el precio.",4,2025-02-09,0,Samsung A15,aprobado de acuerdo a lo que buscaba conforme el precio,10,2025-02
Muy lindo practico.,4,2025-02-08,0,Samsung A15,muy lindo practico,3,2025-02
No es tan bueno todos los días hay que recetearlo porque se tilda y eso que no tengo nada no sirve es malo.,4,2025-02-07,0,Samsung A15,no es tan bueno todos los dias hay que recetearlo porque se tilda y eso que no tengo nada no sirve es malo,23,2025-02
Más de 300 mil y no trae cargador.,4,2025-02-06,0,Samsung A15,mas de 300 mil y no trae cargador,8,2025-02
"Buen diseño, practico y lindo color. Aun no lo encendí así que no se si funciona o no, pero al menos por el precio podría haber traído un cargador. La próxima me compro un acme.",4,2025-02-06,0,Samsung A15,buen diseno practico y lindo color aun no lo encendi asi que no se si funciona o no pero al menos por el precio podria haber traido un cargador la proxima me compro un acme,35,2025-02
El celular muy bien funciona perfectamente.,4,2025-02-05,0,Samsung A15,el celular muy bien funciona perfectamente,6,2025-02
"Muy bueno , era lo que esperaba.",4,2025-02-04,0,Samsung A15,muy bueno  era lo que esperaba,6,2025-02
Parece bueno y hasta ahora me saca del apuro.,4,2025-02-03,0,Samsung A15,parece bueno y hasta ahora me saca del apuro,9,2025-02
Me parecio hermoso. Lo unico malo q puedo decir es q le dura poco la bateria. Tengo q cargarlo tds los dias!.,4,2025-02-02,0,Samsung A15,me parecio hermoso lo unico malo q puedo decir es q le dura poco la bateria tengo q cargarlo tds los dias,22,2025-02
"Muy bueno, lástima q ya no viene con cargador.",4,2025-02-01,0,Samsung A15,muy bueno lastima q ya no viene con cargador,9,2025-02
"El producto muy bueno, pero debería incluir el cargador. Es una pena porque no se puede cargar hasta no salir a comprar uno.",4,2025-01-30,0,Samsung A15,el producto muy bueno pero deberia incluir el cargador es una pena porque no se puede cargar hasta no salir a comprar uno,23,2025-01
"Excelente equipo nunca compro samsung por el sistema que tiene y no me equivoque en eso ya que viene con muchas apps instaladas, pero se las puede desinstalar, para sorpresa mia anda muy bien, fluido, la bateria dura todo el dia, y la camara en videos si bien es full hd graba muy lindo y el balance es excelente.",4,2025-01-30,0,Samsung A15,excelente equipo nunca compro samsung por el sistema que tiene y no me equivoque en eso ya que viene con muchas apps instaladas pero se las puede desinstalar para sorpresa mia anda muy bien fluido la bateria dura todo el dia y la camara en videos si bien es full hd graba muy lindo y el balance es excelente,59,2025-01
Bien.,4,2025-01-29,0,Samsung A15,bien,1,2025-01
Es hermoso.,4,2025-01-27,0,Samsung A15,es hermoso,2,2025-01
Cumple expectativas.,4,2025-01-26,0,Samsung A15,cumple expectativas,2,2025-01
"Es genial el celu,lástima el detalle del cargador que solo trae el cable.",4,2025-01-23,0,Samsung A15,es genial el celulastima el detalle del cargador que solo trae el cable,13,2025-01
Me cuesta trabajo q funcione para acreditar el saldo en la sube.,4,2025-01-23,0,Samsung A15,me cuesta trabajo q funcione para acreditar el saldo en la sube,12,2025-01
Muy bueno !!.,4,2025-01-22,0,Samsung A15,muy bueno ,2,2025-01
Se lo compro mi hija no tiene 3 hs de uso hasta ahora todo bien!.,4,2025-01-22,0,Samsung A15,se lo compro mi hija no tiene 3 hs de uso hasta ahora todo bien,15,2025-01
Hasta ahora funciona bien. Relacion precio-calidad esta muy bien. Lo recomiendo.,4,2025-01-22,0,Samsung A15,hasta ahora funciona bien relacion preciocalidad esta muy bien lo recomiendo,11,2025-01
El teléfono muy bueno en si el único problema que tuve fue que no me carga con la ficha c que viene.,4,2025-01-22,0,Samsung A15,el telefono muy bueno en si el unico problema que tuve fue que no me carga con la ficha c que viene,22,2025-01
"Mi hija lo lleno de juegos, muchas aplicaciones abiertas, hasta ahora anda bien.",4,2025-01-21,0,Samsung A15,mi hija lo lleno de juegos muchas aplicaciones abiertas hasta ahora anda bien,13,2025-01
Esta bien relacion precio calidad. No mas.,4,2025-01-20,0,Samsung A15,esta bien relacion precio calidad no mas,7,2025-01
No me agradan los colores de las fotos. La batería no dura mucho cargada. Tengo que recargar una vez al día con un uso medianamente moderado del aparato.,4,2025-01-19,0,Samsung A15,no me agradan los colores de las fotos la bateria no dura mucho cargada tengo que recargar una vez al dia con un uso medianamente moderado del aparato,28,2025-01
Para completar lo bueno del equipo falta el cargador no hay excusa.,4,2025-01-17,0,Samsung A15,para completar lo bueno del equipo falta el cargador no hay excusa,12,2025-01
"El. Mejor de gama baja. Lastima. Que no es 5g. Pero tiene nfc, un diseño espectacular y muy buena calidad. Lástima. Que no traiga cargador.",4,2025-01-16,0,Samsung A15,el mejor de gama baja lastima que no es 5g pero tiene nfc un diseno espectacular y muy buena calidad lastima que no traiga cargador,25,2025-01
"Lo compré para mi hija, ella está contenta con el producto.",4,2025-01-15,0,Samsung A15,lo compre para mi hija ella esta contenta con el producto,11,2025-01
No me duró ni un mes me lo robaron.,4,2025-01-14,0,Samsung A15,no me duro ni un mes me lo robaron,9,2025-01
Estoy probando después te digo.,4,2025-01-14,0,Samsung A15,estoy probando despues te digo,5,2025-01
Esta bueno pero como. Lo cargo no viene el. Transformador.,4,2025-01-14,0,Samsung A15,esta bueno pero como lo cargo no viene el transformador,10,2025-01
"Para un uso sencillo, es muy práctico y de fácil lectura en su uso.",4,2025-01-13,0,Samsung A15,para un uso sencillo es muy practico y de facil lectura en su uso,14,2025-01
"Es un hermoso teléfono. Pero hay un problema, no trajo el cargador ni siquiera el cable usb.",4,2025-01-13,0,Samsung A15,es un hermoso telefono pero hay un problema no trajo el cargador ni siquiera el cable usb,17,2025-01
"Siempre elegí gama samsung. Todos los que compré fueron por mercado libre. Éste último que compré es lindo pero tiene una falla en la pantalla, se ve con menos color de un lado y el boton para accionar hacia atrás a veces no funciona, y tengo que reiniciarlo. Una lástima. Pero lo demás todo bien. Espero que con el tiempo no salga con otras fallas. :(.",3,2024-09-10,2,Samsung A15,siempre elegi gama samsung todos los que compre fueron por mercado libre este ultimo que compre es lindo pero tiene una falla en la pantalla se ve con menos color de un lado y el boton para accionar hacia atras a veces no funciona y tengo que reiniciarlo una lastima pero lo demas todo bien espero que con el tiempo no salga con otras fallas ,65,2024-09
"No lo probé todavía, pero no trajo ningún accesorio, solo el teléfono nomas.",3,2024-08-17,2,Samsung A15,no lo probe todavia pero no trajo ningun accesorio solo el telefono nomas,13,2024-08
"Se tilda mucho, y solo baje un par de app basicas.",3,2024-12-18,1,Samsung A15,se tilda mucho y solo baje un par de app basicas,11,2024-12
Por ser samsang es malo.,3,2024-12-11,1,Samsung A15,por ser samsang es malo,5,2024-12
A nanci.,3,2024-12-01,1,Samsung A15,a nanci,2,2024-12
No trae cable usb ni cargador.,3,2024-11-07,1,Samsung A15,no trae cable usb ni cargador,6,2024-11
No trae cargador.,3,2024-10-16,1,Samsung A15,no trae cargador,3,2024-10
Me hubiera gustado que traiga cargador.,3,2024-10-15,1,Samsung A15,me hubiera gustado que traiga cargador,6,2024-10
Lindo el celular pero no sabía que no venía con cargador! era un regalo para mí hermana.,3,2024-10-14,1,Samsung A15,lindo el celular pero no sabia que no venia con cargador era un regalo para mi hermana,17,2024-10
Estaria bueno que traigan cargador!!!.,3,2024-10-07,1,Samsung A15,estaria bueno que traigan cargador,5,2024-10
"No es malo,pero vengo de un motorola y es muy superior,éste es para personas que no tengan tantas actividades con el celu,además no tiene buena definición. Apenas pueda,lo cambio.",3,2025-04-01,0,Samsung A15,no es malopero vengo de un motorola y es muy superioreste es para personas que no tengan tantas actividades con el celuademas no tiene buena definicion apenas puedalo cambio,29,2025-04
Se tilda mucho.,3,2025-04-24,0,Samsung A15,se tilda mucho,3,2025-04
"Lo compre para reponer un motorola viejo que tenia. La cámara es un poco mejor, pero es bastante lento. Yo le doy uso convencional, llamadas, whatsapp, drive. No responde muy rapido.",3,2025-04-23,0,Samsung A15,lo compre para reponer un motorola viejo que tenia la camara es un poco mejor pero es bastante lento yo le doy uso convencional llamadas whatsapp drive no responde muy rapido,31,2025-04
"Me viven apareciendo anuncios en le teléfono,los saco y no dura ni dos días que vuelen aparecer,y aparece como que tiene un virus.",3,2025-04-20,0,Samsung A15,me viven apareciendo anuncios en le telefonolos saco y no dura ni dos dias que vuelen aparecery aparece como que tiene un virus,23,2025-04
No es lo que esperaba pero bueno por el precio no puedo pedir mas.,3,2025-04-10,0,Samsung A15,no es lo que esperaba pero bueno por el precio no puedo pedir mas,14,2025-04
"Me lo compré como celular de paso, no lo recomiendo. Se tilda, es lento, las fotos malas. Pero por el precio no se puede pedir mucho. Excelente relación precio-calidad no apto para exigentes.",3,2025-04-05,0,Samsung A15,me lo compre como celular de paso no lo recomiendo se tilda es lento las fotos malas pero por el precio no se puede pedir mucho excelente relacion preciocalidad no apto para exigentes,33,2025-04
"No estoy satisfecha con la compra, recién comprado ya se tildaba mucho, aclaro que no tengo muchas apps, a veces se pone muy lento. Sólo trae el cable para cargar por lo que hay q comprar el adaptador.",3,2025-04-04,0,Samsung A15,no estoy satisfecha con la compra recien comprado ya se tildaba mucho aclaro que no tengo muchas apps a veces se pone muy lento solo trae el cable para cargar por lo que hay q comprar el adaptador,38,2025-04
Defectuoso.,3,2025-04-03,0,Samsung A15,defectuoso,1,2025-04
"Nunca había usado esta marca , por lo tanto me encuentro muy perdida.",3,2025-04-02,0,Samsung A15,nunca habia usado esta marca  por lo tanto me encuentro muy perdida,12,2025-04
Lo compre xq samsung siempre me parece precio calidad.,3,2025-04-02,0,Samsung A15,lo compre xq samsung siempre me parece precio calidad,9,2025-04
Tengo mis dudas si solo a mi me paso. Como que se traba. Aveces ni me lee la huella.,3,2025-04-02,0,Samsung A15,tengo mis dudas si solo a mi me paso como que se traba aveces ni me lee la huella,19,2025-04
"Lento, muy lento la verdad.",3,2025-03-31,0,Samsung A15,lento muy lento la verdad,5,2025-03
El celular muy buena calidad anda muy bien lastima que el cable qué trajo para cargar no funciona.,3,2025-03-30,0,Samsung A15,el celular muy buena calidad anda muy bien lastima que el cable que trajo para cargar no funciona,18,2025-03
"Estoy probando, escoba nueva barre bien 👍.",3,2025-03-25,0,Samsung A15,estoy probando escoba nueva barre bien ,6,2025-03
No sé. Era para mí hijo. ¡y se fue a brasil!.,3,2025-03-25,0,Samsung A15,no se era para mi hijo y se fue a brasil,11,2025-03
Viene sin cargador.,3,2025-03-24,0,Samsung A15,viene sin cargador,3,2025-03
"Buenas!! el pruducto asta el momento bien. #cargamos la compra para que llegue a domicilio ya que no tenía gasto, pero lo terminaron mandando al correo argentino a 30 k de mi domicilio que no me informaron tampoco. !.",3,2025-03-21,0,Samsung A15,buenas el pruducto asta el momento bien cargamos la compra para que llegue a domicilio ya que no tenia gasto pero lo terminaron mandando al correo argentino a 30 k de mi domicilio que no me informaron tampoco ,38,2025-03
Cumplió las expectativas.,3,2025-03-20,0,Samsung A15,cumplio las expectativas,3,2025-03
Todo muy lindo pero no trae cargador.,3,2025-03-20,0,Samsung A15,todo muy lindo pero no trae cargador,7,2025-03
"Compré dos teléfonos y en los dos falla la comunicación, se corta todo el tiempo, supongo que no debe tener buena antena o no sé que puede ser pero no funciona para llamadas, lo demás todo ok. Para usarlo con whatsapp, cámara y redes sociales anda bien.",3,2025-03-19,0,Samsung A15,compre dos telefonos y en los dos falla la comunicacion se corta todo el tiempo supongo que no debe tener buena antena o no se que puede ser pero no funciona para llamadas lo demas todo ok para usarlo con whatsapp camara y redes sociales anda bien,47,2025-03
"No era lo q esperaba ,estéticamente es hermoso el equipo pero a la semana de comprarlo empezó andar mal.",3,2025-03-16,0,Samsung A15,no era lo q esperaba esteticamente es hermoso el equipo pero a la semana de comprarlo empezo andar mal,19,2025-03
