text_clean
el celular es precioso se lo regale a mi mama y esta fascinada no he visto problemas y anda a la perfeccion la bateria una locura mi mama lo esta usando un monton y todavia no lo ha cargado lo que si se me hizo curioso fue el cable del cargador este vino con 2 fichas iguales lo muestro en las ultimas fotos y la verdad desconozco si ahora vienen asi se que ya con el cargador no vienen pero nunca vi que las fichas sean iguales de todos modos tenemos muchos cargadores en casa asi que no nos angustiados mas alla de esto el celular me encanto y mi mama esta super contenta
super lindo el celu muy recomendado
esta muy lindo la camara linda la bateria dura un dia con uso  x el precio es muy bueno  lastima vino con un cable usb solo pero es un detalle no mas
realmente el producto me encantopublico algunas fotos porque la verdad es que a lo que yo le tenia desconfianza era a las camaras estan sacadas el fia quedo programe con el correr de los dias le estoy encontrando mas cosas que estan muy buenas el equipo lo super recomiendo yo tenia un moto g 20 los mega pideles de las camaras los mismos pero les aseguro que lo supera ampliamente por supuesto quebrara el valor del equipo van a encontrar mejores pero a mi me encanto el sonido es espectacular los tonos son lindos no molesta la bateria sino lo usas demasiado te dura 2 dias por ahora considero que es una compra a ciega que me salio excelente
desde que conoci samsung no deje de usar desde el que venia con tapa y forma ovalada tengo 80 anos y me gusta mucho el sistema de esta marca todas no use todas las ap amo el celular no se subir fotos una pena pero no tiene que ver con ls calidad del movil
""
muy bueno hasta ahora estoy muy satisfecha solo que el cabezal del cargador no lo trae solo usb a y la bateria un poco me sorprendio pense que hiba a durar mucho mas pero estoy chocha con mi celular samsung a15 y lo mejor a muy buen precio  no desaprovechen samsung la mejor marca
hermoso celular y a un buen precio contenta con mercado libre excelente pagina
despues de probarlo varios dias  llegue a la conclusion de que es un buen celular excelente  calidad precio lo volveria a comprar
es muy lindo y se ve resistente lo malo es que no trae nada nisiquiera cargador cable usb nada creo que no es el mas barato como para no traer nisiquiera un cargador
un cano el celular super rapido recomendable su compra
es excelente las imagenes de fotos recomendable
lo compre para hacer un regalo muy buen precio samsung lo mejor
perfectirijillo
lo unico malo q tengo para criticar es que no viene el cargador solo el cable usb lo demas todo bien
se lo compre a mi mama y a mi novio por ahora ningun problema es buenisimo el celular y tiene una camara hermosa
super recomendable hermoso me encanto heartsheartshearts
10pts
muy bueno y rapido gran capacidad de bateria viene sin cargador
acorde al precio muy buena camara y prestaciones
muy conforme con el producto excelente estado puntos en contra el que no traiga cargador solo cable
el celular a15 supero mis expectativas veloz super  por su precio es lo mejor que he podido haber conseguido altamente recomendable
samsung palabra mayor
me encanto
buen producto
se lo regale a mi hija de 15 y todavia no se quejo
fue destinado para un mayor adulto asi que mas que conforme puntos a destacar super amoled de 65 pulgadas camara principal de 50 mp memoria 4g te queda corto si sos mas exigente 128 g de capacidad depende de tu utilidad desbloquea la pantalla con la huella dactilar procesador octacore 2g aceptable y cuenta con nfc
mi suegra no se quejo por lo tanto supongo que debe estar bueno
es un buen celular para el dia a dia no para pavadas como los jueguitos para eso comprate la play
parece un muy buen celular si bien samsung es garantia no puedo definir su durabilidad porque recien lo estoy utilizando parece que nos llevaremos bien el y yo
excelente
muy bonito la calidad para el precio esta muy bien lo recomiendo por este precio
buen telefono por el precio
lindo telefono pero la funcionalidad es bastante lenta para lo que son hoy los telefonos
hola como estas buenas tardes no lo disfrute nada x q me lo robaron queria saber si tenia algun seguro como para poder recuperar hermoso celular 
muy bueno lo estoy usando hace un tiempo bien no se me tilda no se apaga la pantalla en si es un samsung
estoy muy feliz solo algunos detalles de una pequena rotura en la caja del equipo pero funciona de maravillas ademas falta el sello de origen pero esta funcionando excelente
hola me parece un celular gama media exelente habria q comprarle un vidrio templado
excelente equipo
muy bueno el celular quede conforme
muy bueno
esta bueno
god
mejor de lo que esperaba
hace menos de un mes que lo tengo y hasta ahora me parece un excelente equipo sin gastar demasiado es muy buen celular la definicion de pantalla es super nitida es ligero con las apps y me encanta el diseno en general la camara de 50mpx si bien no la probe demasiado me parece muy decente y saca buenas fotos lo unico que capaz no me gusta tanto es la bateria no se mantiene como pensaba y en comparacion con mi celu anterior que era un motorola tarda mas tiempo en cargarse al 100 pero sacando eso estoy mas que feliz con mi compra
buen producto para ser de gama media cumple muy bien en todos los aspectos
lamentable que no incluya el cargador el original cuesta un 10 del celular que es bueno
mas alla de que estaria bueno que te vengas con el cargador y no un cable usb raro el celular es excelente buen rendimiento la camara no es wow pero se la banca saca fotos con gran angular y eso esta bueno la bateria me llega a durar dias dependiendo del uso lo recomiendo para quien quiera un celular bueno sin quedarse en la quiebra
lo unico malo q no trae cargador hay q hacer un gasto aparte
buscaba un celular de gama media con mas memoria y buena camara la verdad estoy muy conforme es lo que necesitaba
hace poco menos de una semana que lo estoy usando el producto es bueno teniendo en cuenta que lo estoy comparando con motorola pero es muy pronto para ponderarlo
se esperaria que al comprar un telefono este cuente con su cargador
todo bien lastima que no tree cargador
es espectacular lo compre para regalarle a mi mama quedo enloquecida con su celular nuevo lo recomiendo al 100 x 100 lo malo que no trae el transformador para cargar pero ahora parece que samsung recorto ese accesorio
hermoso el celular recomendable  lo unico que no viene el cargador lo malo
muy buen celular lo unico malo es el cable para cargar ya que tiene de los dos lados la misma ficha
una marca mas que conocida por todos lo unico malo es que te viene sin el cargador
muy bueno se lo regale a mi hija y le encanto volveria a comprar uno para mi jaja
excelente producto lo usa mi esposa que solo saca fotos y manda whatsapp asi que le va como pina de padrastro
todo perfecto
super rapido muy conforme en cuanto precio y calidad
buena relacion precio calidad y es rapido al usarlo
hasta ahora bien lo estoy probando todavia
cumple como telefono biena velocidad para aplicaciones normales  buenas imagenes  lindo  no se tilda como el anterior asi que esta feliz mi hijo  se lo regale para su cumple lo recomiendo
muy buen producto
buenisimo
excelente precio y muy lindo celular
excelente producto
feliz con la compra todo lo que esperaba y mas
exelente precio calidad
hermoso me encantalo recomiendo
bueno
calidad precio muy bueno
hermosa la camara
excelente celular lo uso para clases virtuales pdf uno que otro juego la bateria le dura de 2 a 3 dias de acuerdo al uso
esta hermoso  muy lindo todo la bateria no me sorprendio del todo pero bueno es mas de lo que esperaba 
