topic_id,words,weights,top_words_str
0,"['precio', 'calidad', 'camara', 'mas', 'buen', 'bateria', 'buena', 'celular', 'bueno', 'bien']","[np.float64(170.41756112659434), np.float64(128.42354736266378), np.float64(124.81899746004409), np.float64(116.8547143245856), np.float64(116.34435514584106), np.float64(110.01111109293313), np.float64(109.40468988802115), np.float64(87.28326608457296), np.float64(83.16396781603986), np.float64(81.88934858870509)]","precio, calidad, camara, mas, buen"
1,"['cargador', 'bien', 'ahora', 'trae', 'compre', 'solo', 'anda', 'celular', 'bueno', 'hace']","[np.float64(160.4166009818767), np.float64(79.11065141129315), np.float64(59.33161909211878), np.float64(56.34465494964222), np.float64(56.149806834831125), np.float64(55.38655270310695), np.float64(55.27908234945923), np.float64(54.71673391542526), np.float64(50.83603218395837), np.float64(49.41458363019321)]","cargador, bien, ahora, trae, compre"
