producto,periodo,rating_votes_corr,rating_length_corr,votes_length_corr
Samsung A15,2024-06,,,0.9999999999999998
Samsung A15,2024-07,-0.9994758144940517,-0.8357661056711406,0.8531042797157439
Samsung A15,2024-08,-0.14604187771336632,-0.962466472361698,-0.12793034993960373
Samsung A15,2024-09,0.9511153117567872,-0.8021534568738837,-0.5785289305604842
Samsung A15,2024-10,0.5956929372887889,0.047578264615960694,0.8306446625304004
Samsung A15,2024-11,0.7696934126171039,0.8182157351022074,0.9968065152354736
Samsung A15,2024-12,-0.18127345454318375,0.5425369765450372,-0.9244624378735672
Samsung A15,2025-01,-0.5375110005283318,0.984657272916722,-0.382116286777446
Samsung A15,2025-02,-0.3670572955613075,-0.43713863670367153,0.9970698534921401
Samsung A15,2025-03,-0.9882581423551287,-0.9687473732747127,0.9952728145070006
Samsung A15,2025-04,-0.9479267195817631,-0.5491671057770446,0.7867350267670273
Motorola G32,2023-02,0.3273268353539885,-0.5000000000000001,0.6546536707079772
Motorola G32,2023-03,0.1088970314532939,-0.4746807439190236,-0.9266151039295533
Motorola G32,2023-04,0.1688815550427237,0.7740593145675547,-0.4932949307252217
Motorola G32,2023-05,0.6099942813304188,0.9991809798596067,0.5774304400251423
Motorola G32,2023-06,0.598058115415038,0.8201921428805515,0.032020955121196314
Motorola G32,2023-07,0.9999274582192064,0.021959264971536475,0.03399961292938183
Motorola G32,2023-08,0.2498540972202534,-0.9480282789382221,-0.5449630811962234
Motorola G32,2023-09,-0.4548125276823237,-0.9896927684805215,0.32258641297560015
Motorola G32,2023-10,-0.9404175654691802,-0.9939697592316392,0.9720315510262691
Motorola G32,2023-11,0.9667874275686877,-0.9989116311286028,-0.9776562648182322
Motorola G32,2023-12,0.7955922571694515,-0.4467345485970416,-0.8974365804102724
Motorola G32,2024-01,0.9285123563974594,0.47847339734085076,0.7703090696322068
Motorola G32,2024-02,0.18559013604549485,-0.8666360474657461,-0.6511119640921705
Motorola G32,2024-03,-0.29859191077822367,0.6086713664804433,-0.9389715552385809
Motorola G32,2024-04,-0.9538683462950869,0.2636163808871588,0.03815020398369163
Motorola G32,2024-05,-0.9933514796587646,-0.22932081578438693,0.33984927131162607
Motorola G32,2024-06,-0.013994999430458253,0.9337087102396006,0.3449312632059462
Motorola G32,2024-07,-0.4949749728053304,-0.938652204581148,0.76426525662788
Motorola G32,2024-08,-0.7125957614898577,-0.5043077732868679,0.965194297308619
Motorola G32,2024-09,-0.6476430660390816,-0.7256802518387463,0.9942236241203628
Motorola G32,2024-10,-0.9945975128335544,-0.8868578507930331,0.8341036156627749
Motorola G32,2024-11,-0.9153033814180132,-0.1700593992175754,0.5525542844614014
Motorola G32,2024-12,,0.9210574099687312,
Motorola G32,2025-01,,0.6473274929487509,
Motorola G32,2025-02,0.9491560602733727,-0.2917328923241712,-0.5780118599126434
Motorola G32,2025-03,0.9320239247129539,-0.9501133985101934,-0.7724951762103309
Motorola G32,2025-04,0.8536184751549343,-0.9486885742107081,-0.6451036940407429
